state,report_for_period_ending,indicator_type,0-7,15-21,22-28,29-35,36-42,43-49,50-56,57-63,64-70,71-+,8-14,total,21days_or_fewer,nonmonetary_determination_time_lapse,md_fy_num,md_fy_str
AK,2020-04-30,intra-total,8789,994,732,185,41,8,3,1,0,2,1884,12639,11667,0.923095181580821,2019,2019-2020
AK,2020-04-30,intra-ucfe,11,1,1,0,1,0,0,0,0,0,1,15,13,0.866666666666667,2019,2019-2020
AK,2020-04-30,intra-ucx,2,0,2,1,0,0,0,0,0,0,2,7,4,0.571428571428571,2019,2019-2020
AK,2020-04-30,intra-ui,8776,993,729,184,40,8,3,1,0,2,1881,12617,11650,0.923357374970278,2019,2019-2020
AK,2020-05-31,inter-total,150,42,47,103,60,22,2,0,0,2,78,506,270,0.533596837944664,2019,2019-2020
AK,2020-05-31,inter-ucfe,2,0,2,0,1,0,0,0,0,0,2,7,4,0.571428571428571,2019,2019-2020
AK,2020-05-31,inter-ucx,1,0,0,0,1,0,0,0,0,0,0,2,1,0.5,2019,2019-2020
AK,2020-05-31,inter-ui,147,42,45,103,58,22,2,0,0,2,76,497,265,0.533199195171026,2019,2019-2020
AK,2020-05-31,intra-total,1681,584,639,1177,720,184,22,10,5,4,607,5633,2872,0.509852654003196,2019,2019-2020
AK,2020-05-31,intra-ucfe,6,2,1,3,1,2,1,0,0,0,3,19,11,0.578947368421053,2019,2019-2020
AK,2020-05-31,intra-ucx,4,2,0,2,1,0,0,0,0,0,1,10,7,0.7,2019,2019-2020
AK,2020-05-31,intra-ui,1671,580,638,1172,718,182,21,10,5,4,603,5604,2854,0.509279086366881,2019,2019-2020
AK,2020-06-30,inter-total,153,97,69,56,76,69,59,41,6,13,78,717,328,0.457461645746165,2019,2019-2020
AK,2020-06-30,inter-ucfe,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2019,2019-2020
AK,2020-06-30,inter-ucx,0,1,0,0,0,0,0,0,0,0,1,2,2,1,2019,2019-2020
AK,2020-06-30,inter-ui,153,96,69,56,76,69,58,41,6,13,77,714,326,0.456582633053221,2019,2019-2020
