state,report_for_period_ending,non_exempt_1st_payment,non_exempt_intrastate_matches,non_exempt_interstate_matches,exempt_1st_payment,exempt_intrastate_matches,exempt_interstate_matches,md_fy_num,md_fy_str,reemployment_rate
KS,2020-06-30,11938,7925,168,118162,88794,1619,2019,2019-2020,0.67791924945552
KS,2020-09-30,14188,6426,1750,30480,20243,856,2020,2020-2021,0.576261629546095
KS,2020-12-31,7023,3447,389,103169,92151,938,2020,2020-2021,0.546205325359533
KS,2021-03-31,6494,3568,0,60813,52942,0,2020,2020-2021,0.549430243301509
KS,2021-06-30,2745,1428,116,3981,2513,124,2020,2020-2021,0.56247723132969
KS,2021-09-30,4228,2268,139,2418,1968,62,2021,2021-2022,0.569299905392621
KS,2021-12-31,7446,2792,0,2302,1043,0,2021,2021-2022,0.374966424926135
KS,2022-03-31,7447,5338,302,2302,1760,96,2021,2021-2022,0.757351953806902
KS,2022-06-30,3593,2170,151,647,477,30,2021,2021-2022,0.645978291121625
KS,2022-09-30,4075,2584,166,498,327,27,2022,2022-2023,0.674846625766871
KS,2022-12-31,4260,2506,145,644,427,30,2022,2022-2023,0.622300469483568
KS,2023-03-31,5723,3644,198,1840,1549,43,2022,2022-2023,0.671326227503058
KS,2023-06-30,4488,2653,198,527,412,43,2022,2022-2023,0.635249554367201
KS,2023-09-30,4648,2665,144,589,432,21,2023,2023-2024,0.60434595524957
KS,2023-12-31,4783,2645,0,1252,1020,0,2023,2023-2024,0.553000209073803
KS,2024-03-31,6513,4214,2298,2235,1882,352,2023,2023-2024,0.999846460924305
LA,2019-03-31,8237,4430,253,784,641,20,2018,2018-2019,0.56853223260896
LA,2019-06-30,8391,4748,120,1377,1249,10,2018,2018-2019,0.580145393874389
LA,2019-09-30,9340,5218,236,960,821,19,2019,2019-2020,0.583940042826552
LA,2019-12-31,7906,3973,345,469,351,14,2019,2019-2020,0.546167467746016
LA,2020-03-31,10612,4385,282,41900,28485,186,2019,2019-2020,0.439785148888051
LA,2020-06-30,17461,8847,215,306468,187246,2554,2019,2019-2020,0.518985166943474
LA,2020-09-30,12521,6641,0,49079,28722,0,2020,2020-2021,0.530388946569763
MA,2019-03-31,47675,29467,7330,9230,6331,1973,2018,2018-2019,0.771830099632931
MA,2019-06-30,27676,12293,6034,3320,2007,800,2018,2018-2019,0.662198294551236
MA,2019-09-30,31354,16090,6544,3726,2242,968,2019,2019-2020,0.721885564840212
MA,2019-12-31,34753,14896,5132,5503,2973,907,2019,2019-2020,0.576295571605329
