state,report_for_period_ending,indicator_type,0-7,15-21,22-28,29-35,36-42,43-49,50-56,57-63,64-70,71-+,8-14,total,14days_or_fewer,21days_or_fewer,non_waiting_week,first_payment_promptness,md_fy_num,md_fy_str
AK,2019-06-30,intra-ui,664,38,7,2,4,2,0,0,0,3,326,1046,990,1028,FALSE,0.982791586998088,2018,2018-2019
AK,2019-07-31,inter-total,67,4,0,0,0,0,0,0,0,0,33,104,100,104,FALSE,1,2019,2019-2020
AK,2019-07-31,inter-ucfe,1,0,0,0,0,0,0,0,0,0,3,4,4,4,FALSE,1,2019,2019-2020
AK,2019-07-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2019-07-31,inter-ui,66,4,0,0,0,0,0,0,0,0,30,100,96,100,FALSE,1,2019,2019-2020
AK,2019-07-31,intra-total,521,37,6,5,0,5,1,2,1,2,298,878,819,856,FALSE,0.9749430523918,2019,2019-2020
AK,2019-07-31,intra-ucfe,2,1,0,0,0,0,0,0,0,0,0,3,2,3,FALSE,1,2019,2019-2020
AK,2019-07-31,intra-ucx,1,0,0,0,0,0,0,0,0,0,0,1,1,1,FALSE,1,2019,2019-2020
AK,2019-07-31,intra-ui,518,36,6,5,0,5,1,2,1,2,298,874,816,852,FALSE,0.974828375286041,2019,2019-2020
AK,2019-08-31,inter-total,62,2,0,1,0,0,0,0,0,2,28,95,90,92,FALSE,0.968421052631579,2019,2019-2020
AK,2019-08-31,inter-ucfe,0,0,0,0,0,0,0,0,0,1,1,2,1,1,FALSE,0.5,2019,2019-2020
AK,2019-08-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2019-08-31,inter-ui,62,2,0,1,0,0,0,0,0,1,27,93,89,91,FALSE,0.978494623655914,2019,2019-2020
AK,2019-08-31,intra-total,409,19,5,4,2,1,1,0,0,2,183,626,592,611,FALSE,0.976038338658147,2019,2019-2020
AK,2019-08-31,intra-ucfe,1,0,0,0,0,0,0,0,0,0,1,2,2,2,FALSE,1,2019,2019-2020
AK,2019-08-31,intra-ucx,2,0,0,0,0,0,0,0,0,0,1,3,3,3,FALSE,1,2019,2019-2020
AK,2019-08-31,intra-ui,406,19,5,4,2,1,1,0,0,2,181,621,587,606,FALSE,0.975845410628019,2019,2019-2020
AK,2019-09-30,inter-total,100,2,2,0,1,0,0,1,0,1,47,154,147,149,FALSE,0.967532467532468,2019,2019-2020
AK,2019-09-30,inter-ucfe,1,0,0,0,0,0,0,0,0,0,0,1,1,1,FALSE,1,2019,2019-2020
AK,2019-09-30,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2019-09-30,inter-ui,99,2,2,0,1,0,0,1,0,1,47,153,146,148,FALSE,0.967320261437908,2019,2019-2020
AK,2019-09-30,intra-total,368,26,14,3,7,1,1,0,1,3,227,651,595,621,FALSE,0.953917050691244,2019,2019-2020
AK,2019-09-30,intra-ucfe,4,2,1,2,0,0,0,0,0,0,2,11,6,8,FALSE,0.727272727272727,2019,2019-2020
AK,2019-09-30,intra-ucx,2,0,0,0,0,0,0,0,0,0,3,5,5,5,FALSE,1,2019,2019-2020
AK,2019-09-30,intra-ui,362,24,13,1,7,1,1,0,1,3,222,635,584,608,FALSE,0.95748031496063,2019,2019-2020
AK,2019-10-31,inter-total,319,5,1,0,1,0,0,0,0,1,128,455,447,452,FALSE,0.993406593406593,2019,2019-2020
